Lari!	Plueng!
Saya membuatnya sendiri.	Lôn peugöt keudroe.
Saya harus pergi sekarang.	Lôn harus jak inoe.
Saya membaca labelnya.	Lôn baca label jih.
Saya ingin melihatnya.	Lôn hawa kalön nyan.
Saya ingin kamu pergi.	Lôn hawa kah jak.
Saya ketakutan.	Lôn yee.
Saya dengan Ahmad.	Lôn ngön Ahmad.
Saya akan pergi denganmu.	Lôn akan jak ngön kah.
Saya akan mengambil mobil saya.	Lôn akan cok moto lôn.
Saya berusia 18 tahun.	Lôn meu umu 18 thôn.
Saya supir Ahmad.	Lôn super Ahmad.
Saya seorang penata buku.	Lôn sidroe penata buku.
Saya kecanduan alkohol.	Lôn kecanduan alkohol.
Saya kecewa.	Lôn keucewa.
Saya sudah selesai bekerja.	Lôn ka seuleusoe keureuja.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya bukan dokter.	Lôn kön dokter.
Saya bukan idiot.	Lôn kön idiot.
Saya bangga padamu.	Lôn bangga keu kah.
Saya sangat capek.	Lôn that hèk.
Saya masih ngantuk.	Lôn mantöng teungeut.
Saya sangat lapar.	Lôn that deuek.
Saya demam.	Lôn demam.
Apakah itu mobilmu?	Peukeuh nyan moto kah?
Apakah ini tepat?	Peukeuh nyoe teupat?
Ini kota yang bagus.	Nyoe kota yang göt.
Ini bukan tipuan.	Nyoe kön peungeut.
Itu ada di atas sofa.	Nyan na di ateuh sofa.
Ayo masuk kembali ke dalam.	Yak tamöng balek u dalam.
Mari kita coba.	Yak tanyoe cuba.
Ayo lari.	Yak plueng.
Dengarkan baik-baik.	Deungö beu göt-göt.
Nisa adalah seorang yang anggun.	Nisa adalah sidroe yang anggun.
Denyut nadi saya cepat.	Denyut nadi lôn bagah.
Perut saya sakit.	Pruet lôn saket.
Tidak ada yang bertanya padamu.	Hana yang tanyöng bak kah.
Tidak ada orang yang sempurna.	Hana yang sempurna.
Tidak ada yang bertanya padamu.	Hana yang tanyöng bak kah.
Tidak ada yang harus tahu.	Hana yang harus teupeu.
Tidak ada orang yang sempurna.	Hana ureung yang sempurna.
Tak ada yang terjadi.	Hana yang terjadi.
Silakan duduk.	Silahkan duek.
Jangan menangis. Bèk moe.	
Pakai jasmu.	Pakek jas kah.
Mau pulang?	Neu jak woe?
Dia memiliki rambut yang kering.	Jih na ôk yang thô.
Dia seorang siswa.	Jih sidroe siswa.
Dia cantik.	Jih lagak.
Dia marah pada saya.	Jih bungeh keu lôn.
Dia tidak muda.	Jih hana muda.
Dia menolong saya.	Jih tulông lôn.
Silakan duduk.	Silahkan duek.
Tolong duduklah.	Tulông duek lah.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Itu luar biasa.	Nyan luar biasa.
Tolong bonnya.	Tulông bon jih.
Kotak itu kosong.	Kotak nyan soh.
Tidak ada bukti.	Hana bukti.
Mereka berdua setuju.	Awak nyan mandua seutuju.
Mereka menang.	Awak nyan meunang.
Ahmad menjadi buta.	Ahmad jeut buta.
Kaki Ahmad terluka.	Gaki Ahmad luka.
Ahmad adalah seorang siswa.	
Ahmad itu ramah.	Ahmad nyan ramah.
Ahmad itu santai.	Ahmad nyan santai
Ahmad adalah teman saya.	Ahmad adalah ngön lôn.
Ahmad tidak terkenal.	Ahmad hana terkenal.
Ahmad kehilangan topinya.	Ahmad gadöh topi jih.
Ahmad kehilangan pekerjaannya.	Ahmad gadöh keureuja jih.
Ahmad akan berkembang.	Ahmad akan berkembang.
Belok ke kiri.	Wét u wie.
Berjalanlah di depan saya.	Jak i keu lôn.
Kali ini kita menang.	Kali nyoe tanyoe meunang.
Kita akan diselamatkan.	Tanyoe akan diselamatkan.
Kami bukan perokok.	Kamoe kön awak meurukok.
Apa yang bisa saya katakan?	Peu yang jeut lôn peugah?
Apa yang kamu beli?	Peu yang jeut lôn bloe?
Beli apa?	Bloe peu?
Apa yang kamu makan?	Peu yang kah pajoh?
Kalian punya apa?	Awakkah na peu?
Kamu punya apa?	Kah na peu?
Apa maumu?	Peu kah hawa?
Apa yang kamu inginkan?	Peu yang kah hawa?
Apa yang Kamu inginkan?	Peu yang kah hawa?
Apa yang dikatakannya?	Peu yang dipeugah le jih?
Apa yang sudah kulakukan?	Peu yang kaleuh lôn peubuet.
Ada apa?	Peu na?
Apa yang membuatmu terbangun?	Peu yang peugöt kah jaga?
Kamu mau yang mana?	Kah hawa yang töh?
Siapa namamu?	Soe nan kah?
Ke mana kamu pergi?	Ho kah jak?
Di mana Bea dan Cukai?	Pat Bea dan Cukai?
Ke mana kita akan pergi?	Ho tanyoe neuk jak?
Di mana pintu keluarnya?	Pat pintô tubiet jih?
Rencana siapakah ini?	Rencana soe nyoe?
Kenapa kamu berhenti?	Pakön kah döng?
Mengapa saya harus membayar?	Pakön lôn harus bayeu?
Apa kamu mau mengambil risiko?	Peu kah tem cok resiko?
Kamu tidak mendengar.	Kah hana deungö.
Mungkin kamu benar.	Mungken kah butoi.
Kamu boleh pergi ke sana.	Kah jeut jak keunan.
Kamu butuh terapi.	Kah perlè terapi.
Kamu harus tidur.	Kah harus éh.
Mukamu merah.	Muka kah mirah.
Apa kalian semua sudah siap?	Peu awakkah mandum ka siap?
Kamu tidak apa-apa?	Kah hana pu-pu?
Apakah mereka memecatmu?	Peukeuh awaknyan peucat kah?
Apa kamu punya pulpen?	Peu kah na pulpen?
Apa dia mengenalmu?	Peu jih i turi kah?
Jangan buat saya kecewa.	Bèk peugöt lôn keucewa.
Jangan mengecewakan saya.	Bèk kapeu keucewa lôn.
Jangan mempermainkan saya!	Bèk kapeu meuen lôn.
Apa kamu merasakannya?	Peu kah meurasa?
Apa kamu mendengarnya?	Peu kah na ka deungö?
Apakah kamu melihat Ahmad?	Peukeuh kah na kalön Ahmad?
Semuanya tertawa.	Mandum khem.
Bangunlah dari tempat tidur.	Beudöhlah dari teumpat éh.
Dia bisa dipercaya.	Jih jeut di patéh.
Dia orangnya pendiam.	Jih ureueng seungap.
Dia dari Perancis.	Jih dari Perancis.
Dia pintar.	Jih caröng.
Dia masih hidup.	Jih mantöng udép.
Dia masih marah.	Jih mantöng bungeh.
Dia masih muda.	Jih mantöng muda.
Dia masih belum di sini.	Jih mantöng golom i  noe.
Ia akan segera datang.	Jih akan sigra trôh.
Dia masih belum di sini.	Jih mantöng golom i  noe.
Kamarnya sangat berantakan.	Kama jih that seumak.
Bagaimana kalau minuman?	Kiban menye minuman?
Bagaimana kabar Kamu?	Kiban haba Droeneuh?
Saya akui saya salah.	Lôn akui lôn salah.
Saya kecewa.	Lôn keucewa.
Saya bukan dokter.	Lôn kön dokter
Saya menghargai ini.	Lôn hargai nyoe.
Saya tidak bisa mempercayai dia.	Lôn hana jeut meupatéh jih.
Saya tidak bisa membantumu.	Lôn hana jeut meubantu kah.
Saya tidak menyalahkanmu.	Lôn hana peusalah kah.
Saya tidak suka telur.	Lôn hana galak bôh manok.
Saya tidak mempercayaimu.	Lôn hana meupatéh kah.
Saya tidak percaya padamu.	Lôn hana patéh keu kah.
Saya merasa baik hari ini.	Lôn meurasa göt uroe nyoe.
Saya sakit kepala.	Lôn saket ulee.
Saya suka toko ini.	Lôn galak toko nyoe.
Dulu saya suka film ini.	Jameun lôn galak film nyoe.
Saya bertemu Ahmad malam ini.	Lôn meureumpök Ahmad malam nyoe.
Saya membutuhkan uang.	Lôn perle pèng.
Saya perlu kertas.	Lôn perle keurtah.
Barusan saya melihat Ahmad.	Satnyoe lôn kalön Ahmad.
Saya ingin kertas.	Lôn perle keurtah.
Saya ingin bertemu dengannya.	Lôn hawa meureumpök ngön jih.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya cuma bercanda.	Lôn cuma meuseunda.
Saya sangat lapar.	Lôn that deuek.
Saya ada di dalam mobil.	Lôn na di dalam moto.
Saya akan mengembalikannya.	Lôn akan pulang.
Saya akan mengirimnya kembali. Lôn akan kirem balek.	
Saya adalah manusia.	Lôn adalah manusia.
Saya seorang akuntan.	Lôn sidroe akuntan.
Saya benar-benar capek.	Lôn butoi-butoi hèk.
Saya merasa capek.	Lôn merasa hèk.
Saya bukan pelajar.	Lôn kön pelajar.
Saya bukan siswa.	Lôn kön siswa.
Saya bukan siswa.	Lôn kön siswa.
Saya sangat lapar.	Lôn that deuek.
Saya harus belajar.	Lôn harus belajar.
Apakah Ahmad masih sakit?	Peukeuh ahmad mantöng saket?
Itu penting?	Nyan peunteng?
Tidak masalah.	Hana masalah.
Ini tidak fakultatif.	Nyoe hana fakultatif.
Ini semua salah saya.	Nyan mandum salah lôn.
Ini rahasia.	Nyoe rahasia
Itu bukan salah saya.	Nyan kön salah lôn.
Itu sangat aneh.	Nyan that aneh.
Sudah dimulai sekarang.	Nyoe i mulai inoe.
Tinggalkan saya sendiri!	Kubah lôn sidroe!
Mari kita melakukannya lagi.	Yak tanyoe peubuet lom.
Mari kita melakukannya sekarang.	Yak tanyoe peubuet inoe.
Mari kita tidur.	Yak tanyoe éh.
Mari kita pergi tidur.	Yak tanyoe jak éh.
Mari kita coba lihat.	Yak tanyoe cuba kalön.
Mari kita coba lihat.	Yak tanyoe cuba kalön.
Bolehkah saya istirahat?	Jeut lôn piyoh?
Tas saya dicuri.	Taih lôn i cue.
Hobi saya musik.	Hobi lôn musik.
Rumah saya kotor.	Rumôh lôn kuto.
Ibu saya baik-baik saja.	Mak lôn göt-göt mantöng.
Tidak ada orang yang sempurna.	Hana ureueng yang sempurna.
Tidak ada orang yang sempurna.	Hana ureueng yang sempurna.
Tolong belok kanan.	Tulông wét u neun.
Dia agresif.	Jih agresif.
Ceritakan pada saya.	Calitra bak lôn.
Katakan pada saya yang sebenarnya.	Peugah bak lôn yang sebutoi jih.
Rumah itu besar.	Rumôh nyan rayék
Itu tidak cukup.	Nyan hana sep.
Itu dulunya rumah kami.	Nyan jameun rumôh kamoe.
Itu dulunya rumah kita.	Nyan jameun rumôh tanyoe.
Itu tidak akan terjadi.	Nyan hana akan terjadi.
Itu kakak saya.	Nyan kakak lôn.
Itu adik saya.	Nyan adek lôn.
Itu tidak cukup.	Nyan hana sep.
Keretanya di sini.	Honda joh i noe.
Mereka ini adalah anak-anak laki-laki saya.	Awak nyan nyoe adalah aneuk-aneuk agam lôn.
Mereka akan mencobanya lagi.	Awak nyan akan cuba lom.
Ini adik saya.	Nyoe adek lôn.
Ini sangat keren.	Nyoe that keren.
Ini bukan lelucon.	Nyoe ken lelucon.
Ini tidak cukup.	Nyoe hana sep.
Hari ini hari Kamis.	Uroe nyoe uroe kameh.
Ahmad melanggar hukum.	Ahmad melanggar hukom.
Ahmad memberi saya sebuah pena.	Ahmad bri keu lôn saboh pena.
Ahmad selalu dalam keadaan baik.	Ahmad sabe dalam keadaan göt.
Ahmad punya tangan yang besar.	Ahmad na jaroe yang rayék.
Ahmad telah kehilangan harapan.	Ahmad ka gadöh harapan.
Ahmad agak pucat.	Ahmad agak pucat.
Ahmad itu kutu buku.	Ahmad nyan gute buku.
Ahmad adalah pria yang baik.	Ahmad nyan aneuk agam yang göt.
Ahmad adalah pria yang baik.	Ahmad nyan aneuk agam yang göt.
Ahmad sedang bersenang-senang.	Ahmad tingöh meuseunang-seunang.
Ahmad sedang berada di dalam mobil.	Ahmad tingöh na lam moto.
Ahmad tidak terkenal.	Ahmad hana terkenal.
Ahmad lumayan bagus.	Ahmad lumanyan göt.
Ahmad adalah seorang penganggur.	Ahmad adalah sidroe pengangguran.
Ahmad sangat lucu.	Ahmad that lucu.
Ahmad tidak haus.	Ahmad hana grah.
Ahmad terlihat syok.	Ahmad deuh syok.
Ahmad merindukan Boston.	Ahmad rindu keu Boston.
Ahmad sepertinya syok.	Ahmad deuh syok.
Ahmad sepertinya terkejut.	Ahmad sang teukijét.
Ahmad mengatur meja.	Ahmad atô meja.
Ahmad memejamkan mata.	Ahmad pet mata.
Ahmad berjajar dalam barisan.	Ahmad meujajar lam baresan.
Ahmad coba membantu.	Ahmad cuba tulông.
Ahmad dulunya merokok.	Ahmad jameun meurukok.
Ahmad beruntung.	Ahmad beuruntông
Ahmad, kamu gak apa-apa?	Ahmad, kah hana peu-peu?
Besok hari gajian.	Singöh uroe gajian.
Belok ke kanan.	Wét u neun.
Kami bangun saat subuh.	Kamoe beudöh watee suboh.
Kami telah mencoba yang terbaik.	Kamoe kaleuh meucuba yang paleng get.
Kami sedang membantu Ahmad.	Kamoe tingöh meubantu Ahmad.
Kami mencoba.	Kamoe cuba.
Apa yang kamu buat?	Peu yang kah peugöt?
Kamu bikin apa?	Kah peugöt peu?
Apa yang mereka tahu?	Peu yang awaknyan teupeu?
Berapa harganya?	Padup yum jih?
Kalian dapat apa?	Awakkah meureumpök peu?
Berapa harganya?	Padup yum jih?
Siapa nama Kamu?	Soe nan kah?
Siapa namamu?	Soe nan kah?
Ada apa?	Peu na?
Ada masalah apa?	Na masalah peu?
Ada masalah?	Na masalah?
Jurusanmu apa?	Jurusan kah peu?
Berapa nilaimu?	Padup nilai kah?
Kapan Ahmad menelepon?	Pajan Ahmad telepon?
Kemana mereka pergi?	Ho awaknyan jak?
Dimana jam saya?	Pat jeum lôn?
Dimana pintu keluarnya?	Pat pintô tubiet?
Dimana Ahmad hari ini?	Pat Ahmad uroe nyoe?
Mana jasmu?	Pat jas kah?
Dari mana kamu?	Dari pat kah?
Mobil siapa ini?	Moto soe nyoe?
Kenapa kamu melakukannya?	Pakön kah peubuet nyan?
Kenapa tidak dicoba?	Pakön hana i cuba?
Kenapa saya harus keluar?	Pakön lôn harus tubiet?
Mengapa saya harus menunggu?	Pakön lôn harus preh?
Kamu tidak memerlukannya.	Kah perle nyan.
Kamu membuat saya bahagia.	Kah peugöt lôn bahgia.
Kamu agresif.	Kah agresif.
Siapapun bisa melakukan itu.	Beurangkasoe jeut peubuet nyan.
Apa kamu sedang terburu-buru?	Peu kah tingöh meukarat?
Apa kamu bercanda?	Peu kah meuseunda?
Apa kamu sudah cukup yakin?	Peu kah ka sep yakin?
Apa kamu yakin dengan hal itu?	Peu kah yakin ngön hai nyan?
Bolehkah saya meminjam itu?	Jeut lôn pinjam nyan?
Bisakah diperbaiki?	Jeut depeugöt?
Apakah kamu tidur nyenyak?	Peukeuh kah éh nyenyak?
Apa kamu merasa bersalah?	Peu kah meurasa salah?
Apa Kamu merasa bersalah?	Peu kah meurasa salah?
Apakah kamu merasa bersalah?	Peukeuh kah meurasa meusalah?
Apakah Kamu merasa bersalah?	Peukeuh kah meurasa meusalah?
Apa kamu suka semuanya?	Peu kah galak mandum nyan?
Apa kamu butuh bantuan?	Peu kah perle bantuan?
Apa kamu mengingat kami?	Peu kah tingat kamoe?
Apakah Ahmad bekerja di sini?	Peukeuh Ahmad kereuja i noe?
Apakah ini sangat sakit?	Peukeuh nyoe that saket?
Jangan berikan itu pada saya!	Bèk bri nyan keu lôn!
Jangan sebut namanya.	Bèk hey nan jih.
Jangan melempar batu.	Bèk rhom batè.
Jangan sentuh mobil saya.	Bèk mat moto lôn.
Berikan uangmu.	Bri pèng kah.
Pergi dan sikat rambutmu.	Jak ngön ikat ôk kah.
Apakah kita pernah bertemu sebelumnya?	Peukeuh tanyoe tom meureumpök sigolom jih?
Apa kita pernah bertemu sebelumnya?	Peu tanyoe tom meureumpök sigolom jih?
Dia tidak suka dengan kita.	Jih hana galak ngön tanyoe.
Dia belum datang.	Jih golom trôh.
Dia bekerja di sebuah bank.	Jih i keureuja bak saboh bank.
Halo, apa kabar?	Halo, peu haba?
Halo, bagaimana kabarmu?	Halo, kiban haba kah?
Hai, bagaimana kabarmu?	Hai, kiban haba kah?
Tunggu sebentar.	Prèh siat.
Ada yang bisa saya bantu?	Na yang jeut lôn bantu?
Bagaimana kamu bisa mendapatkannya?	Kiban kah jeut meureumpök nyan?
Bagaimana kabar keluargamu?	Kiban haba keluarga kah?
Bagaimana keadaan saudaramu?	Kiban keadaan saudara kah?
Saya sepenuhnya setuju.	Lôn sepunoh jih seutuju.
Saya bukan pelajar.	Lôn kön pelajar.
Saya bukan siswa.	Lôn kön siswa.
Saya bukan siswa.	Lôn kön siswa.
Saya turut berduka.	Lôn turit berduka.
Saya tidak bisa hidup seorang diri.	Lôn hana jeut udép sidroe.
Saya tidak dapat tidur nyenyak.	Lôn hana meureumpök éh nyenyak.
Saya sepenuhnya setuju.	Lôn sepunoh jih seutuju.
Saya melakukannya seperti ini.	Lôn peubuet nyan lage nyoe.
Saya tidak tahu tentang hal ini.	Lôn hana teupeu tentang hai nyoe.
Saya tidak memiliki mobil.	Lôn hana moto.
Saya tak tahu di mana.	Lôn hana teupeu pat.
Saya harus pulang.	Lôn harus woe.
Saya harap kamu menyukainya.	Lôn harap kah galak.
Saya tahu apa yang saya rasakan.	Lôn teupeu peu yang lôn rasa.
Saya tahu apa yang saya rasakan.	Lôn teupeu peu yang lôn rasa.
Saya tahu ayahmu.	Lôn teupeu ayah kah.
Saya butuh informasi.	Lôn butuh informasi.
Saya berenang seminggu sekali.	Lôn meulangoe siminggu sigö.
Saya menyuruh Ahmad untuk berhenti.	Lôn yue Ahmad untuk döng.
Saya ingin sepatu merah.	Lôn hawa sipatu mirah.
Saya sangat lapar.	Lôn that deuek.
Saya harap saya kaya.	Lôn harap lôn kaya.
Saya akan menemanimu.	Lôn akan peungön kah.
Saya akan ikut denganmu.	Lôn akan ikot ngön kah.
Saya dari Singapura.	Lôn dari Singapura.
Saya mulai lapar.	Lôn ka deuek.
Tunggu sebentar.	Prèh siat.
Tinggalkan saya sendiri sekarang.	Kubah lôn sidroe inoe.
Kesalahan bisa terjadi.	Kesalahan jeut terjadi.
Kaki saya masih sakit.	Gaki lôn saket.
Silakan duduk.	Silahkan duek.
Silakan duduk.	Silahkan duek.
Dia terlihat bersemangat.	Jih deuh meuseumangat.
Dia nampak bingung.	Jih deuh  bingong.
Ia terlihat tidak asing.	Jih deuh hana aseng.
Ia akan segera datang.	Jih akan sigra trôh.
Sayang sekali.	Sayang that.
Kuncinya rusak.	Kunci jih reulöh.
Mereka semua sedang sibuk.	Awak nyan mandum tingöh sibok.
Ini bukan lelucon.	Nyoe ken lelucon.
Ini tidak cukup.	Nyoe hana sep.
Ahmad pingsan.	Ahmad pansan.
Ahmad sedang di rumah sekarang.	Ahmad tingöh di rumôh inoe.
Ahmad pasti tertidur.	Ahmad pasti ka di éh.
Ahmad seharusnya ada di sini.	Ahmad seharusjih na i noe.
Uang kami habis.	Pèng kamoe abeh.
Apa yang terjadi di sini?	Peu yang terjadi i noe?
Dia pergi ke mana?	Jih i jak ho?
Di mana kita akan bertemu.	Pat tanyoe akan meureumpök.
Kamu mau ke mana?	Kah ho jak?
Mau ke mana?	Neu jak ho?
Berharap kamu di sini.	Berharap kah i noe.
Kamu bisa belajar di sini.	Kah jeut beulajar i noe.
Siapapun bisa melakukan ini.	Beurangkasoe jeut peubuet nyan.
Apakah kamu suka bowling?	Peukeuh kah galak bowling?
Apakah kamu tidak merasa dingin.	Peukeuh kah hana merasa sijuek?
Dia memberi saya garam.	Jih di bri lôn sira.
Dia kaya dengan cepat.	Jih kaya deungön bagah.
Dia punya otak yang cerdas.	Jih na utak yang caröng.
Dia pergi ke toko.	Jih i jak u toko.
Saya kekurangan uang.	Lôn kureung pèng.
Saya percaya akan adanya hantu.	Lôn patéh akan na hantu.
Saya tidak mempercayaimu.	Lôn hana meupatéh kah.
Saya tidak percaya padamu.	Lôn hana patéh keu kah.
Kemarin saya bertemu dia.	Baroe lôn meureumpök jih.
Saya ingin bertemu dengannya.	Lôn hawa meureumpök ngön jih.
Apakah jauh dari sini?	Peukeuh jioh that dari inoe?
Mari kita mencobanya.	Yak tanyoe cuba nyan.
Senang bertemu denganmu.	Seunang meureumpök ngön kah.
Dia punya 2.000 buku.	Jih na 2.000 buku.
Dia masih belum datang.	Jih mantöng golom trôh.
Dia masih belum di sini.	Jih mantöng golom i noe.
Dia masih di bawah umur.	jih mantöng di yup umu.
Silakan duduk.	Silahkan duek.
Terima kasih banyak.	Teurimeng geunaseh banyak.
Itu cukup.	Nyan kasep.
Mereka masih muda.	Awak nyan mantöng muda.
Ahmad kelihatannya terkejut.	Ahmad bak deuh teukijét.
Ahmad membelikan saya bunga mawar.	Ahmad i bloe keu lôn bungong mawar.
Ahmad datang kemari sendirian.	Ahmad trôh keunoe sidroe.
Ahmad memejamkan mata.	Ahmad di pet mata.
Ahmad tidak mengetahui saya.	Ahmad hana i teupeu lôn.
Ahmad mencarikan saya sebuah taksi.	Ahmad i mita saboh taksi.
Ahmad sudah berbohong padamu.	Ahmad ka i peungeut kah.
Ahmad adalah paman Nisa.	Ahmad adalah paman Nisa.
Ahmad adalah seorang politikus.	Ahmad adalah sidroe politikus.
Ahmad terlalu serius.	Ahmad that serius.
Ahmad ada di dalam rumah.	Ahmad na di dalam rumôh.
Ahmad masih menangis.	Ahmad mantöng i moe.
Ahmad membutuhkan pelatihan.	Ahmad perle pelatihan.
Ahmad bilang ia akan datang.	Ahmad peugah jih akan i jak.
Ahmad mulai bernyanyi.	Ahmad mulai meulagu.
Ahmad pulang ke rumah sendirian.	Ahmad woe u rumôh sidroe
Mata Ahmad biru.	Mata Ahmad biru.
Ahmad matanya biru.	Ahmad mata jih biru.
Kami dapat mempercayai Ahmad.	Kamoe jeut meupatéh Ahmad.
Kami sedang makan apel.	Kamoe tingöh pajôh apel.
Apakah mereka telah yakin?	Peukeuh awaknyan ka yakin?
Apa yang sedang kamu makan?	Peu yang tingöh kah pajôh?
Apa yang dia cari?	Peu yang jih mita?
Di atas meja ada apa?	Di ateu meja na peu?
Saya harus bawa apa?	Lôn harus ba peu?
Bagaimana hasilnya?	Kiban hasil jih?
Sedang apa kamu tadi?	Tingöh peu kah bunoe?
Apa masalahmu?	Peu masalah kah?
Kapan kamu bangun?	Pajan kah beudöh?
Kapan kamu akan pergi?	Pajan kah ka jak?
Kamu kapan akan pergi?	Pajan kah ka jak?
Kapan kamu berangkat?	Pajan kah ka beurangkat?
Kamu menuju ke mana?	Kah menuju ho?
Kamu mau pergi ke mana?	Kah neu jak ho?
Kamu mau ke mana?	Kah neu jak ho?
Mau ke mana?	Neu jak ho?
Dari mana kamu?	Dari pat kah?
Kamu dari mana saja?	Kah dari pat mantöng?
Ke mana saja kamu?	Ho mantöng kah?
Dari mana saja Kamu?	Dari pat mantöng kah?
Ke mana kamu pergi?	Ho kah jak?
Ada di mana bandaranya?	Na di pat bandara jih?
Stasiunnya di mana?	Stasiun jih pat?
Mana jaketmu?	Pat jaket kah?
Siapa gurumu?	Soe guru kah?
Kenapa kamu menyerah?	Pakön kah menyerah?
Kenapa kamu tidak datang?	Pakön kah hana kajak?
Mengapa kamu mengatakan itu?	Pakön kah kapeugah nyan?
Kamu koki yang terampil.	Kah koki yang teurampil.
Kamu bisa mengandalkannya.	Kah jeut ta andalkan.
Kamu mengecewakan saya.	Kah kapeu keucewa lôn.
Kamu tidak memerlukan itu.	Kah hana peurle nyan.
Kamu tidak memerlukan ini.	Kah hana peurle nyan.
Sebaiknya kamu tidak pergi.	Lubeh göt kah hana jak.
Sepatumu ada di sini.	Sipatu kah na i noe.
Apakah tanganmu sudah bersih?	Peukeuh jaroe kah ka gleh?
Apakah Kamu bisa berbahasa Prancis?	Peukeuh kah jeut bahasa Prancis?
Apakah Kamu memiliki peliharaan?	Peukeuh kah na peliharaan?
Dia mulai merasa sakit.	Jih mulai meurasa saket.
Dia tidak takut pada kematian.	Jih hana yee keu mate.
Dia mudah marah.	Jih bagah bungeh.
Dia mudah bosan.	Jih bagah bosan.
Dia tidak ada di sini, kan?	Jih hana i noe, ken?
Dia ingin berhasil.	Jih hawa berhasil.
Ia pergi berburu rusa.	Jih i jak mita berburu rusa.
Dia sedang memakan buah apel.	Jih tingöh i pajôh boh apel.
Dia ada di bawah kursi.	Jih na di yup kursi.
Saya sedang makan buah apel.	Lôn tingöh pajôh boh apel.
Saya sangat lapar.	Lôn that deuek.
Saya bertemu Nisa kemarin.	Lôn meureumpök Nisa Baroe.
Senang bertemu denganmu.	Seunang meureumpök ngön kah.
Apakah ini sepedamu?	Peukeuh nyoe sitangèn kah?
Biarkan saya melihatnya.	Bah lôn kalön.
Mari kita mencobanya.	Yak tanyoe cuba nyan.
Apakah saya boleh menggunakan ponsel Kamu?	Peukeuh lôn jeut pakek ponsel kah?
Dia mempunyai sepuluh anak.	Jih na siploh aneuk.
Dia suka terlambat.	Jih galak teulat.
Mereka tinggal di sebuah rumah.	Awak nyan tinggai bak saboh rumoh.
Mereka semua bersalah.	Awak nyan mandum salah.
Mereka akan aman di sini.	Awak nyan akan aman inoe.
Ini tidak cukup.	Nyoe hana sep.
Ahmad tidak mempercayai kita.	Ahmad hana dipatéh tanyoe.
Ahmad akhirnya bertemu dengan Nisa.	Ahmad akhe jih meureumpök ngön Nisa.
Ahmad punya sopan santun.	Ahmad na sopan santon.
Ahmad menyetrika bajunya.	Ahmad i gosok bajee.
Ahmad adalah orang yang baik.	Ahmad adalah ureueng yang göt.
Ahmad adalah pekerja yang baik.	Ahmad adalah peukeurja yang göt.
Ahmad adalah orang yang baik.	Ahmad adalah ureueng yang göt.
Ahmad adalah seorang yang teliti.	Ahmad adalah sidroe ureueng yang teuliti.
Ahmad lebih tua ketimbang saya.	Ahmad lubeh tuha dari lôn.
Ahmad masih berada di luar.	Ahmad mantöng na di lua.
Ahmad memberitahu saya tentang hal itu.	Ahmad di peugah bak lôn tentang hai nyan.
Ahmad dulu bahagia.	Ahmad jameun bahgia.
Ahmad sangat baik dalam hal itu.	Ahmad that göt lam hai nyan.
Kura-kura adalah reptil.	Kura-kura nyan adalah reptil.
Kami bertemu di tengah perjalanan.	Kamoe meureumpök bak tingöh perjalanan.
Kita akan bertarung.	Tanyoe akan meutarông.
Apa kamu mabuk?	Peu kah mabôk?
Mereka ini siapa?	Awak nyan nyoe soe?
Kenapa kamu bekerja di sini?	Pakön kah keureuja i noe?
Apakah mereka semua sama?	Peukeuh awaknyan mandum sama?
Apa kamu serius?	Peu kah serius?
Apakah kamu punya sepeda?	Peukeuh kah na sitangèn?
Apakah kamu punya sepeda?	Peukeuh kah na sitangèn?
Apakah kamu menyukai kejutan?	Peukeuh kah galak kejutan?
Apakah Ahmad suka berenang?	Peukeuh kah galak meulangoe?
Apakah Ahmad mengatakan sesuatu?	Peukeuh Ahmad i peugah sesuatu?
Dia punya banyak uang.	Jih na lé pèng.
Dia punya banyak uang.	Jih na lé pèng.
Dia punya selera seni yang tinggi.	Jih na seulera seni yang lambong.
Dia telah berangkat ke London.	Jih ka i berangkat u London.
Dia hidup dengan bahagia.	Jih udép ngön bahgia.
Dia sering bermain gitar.	Jih sereng meuen gitar.
Dia kakak saya.	Jih kakak lôn.
Dia sangat pintar.	Jih that caröng.
Halo, bagaimana bisnismu?	Halo, kiban bisnis kah?
Hai. Bagaimana kabarmu?	Hai. Kiban haba kah?
Ayahnya memanggilnya Ahmad.	Ayah jih hey jih Ahmad.
Senang bertemu denganmu.	Seunang meureumpök ngön kah.
Saya tidak suka telur.	Lôn hana galak bôh manok.
Saya pergi tidur sekitar jam 10.	Lôn jak éh sekitar poh 10.
Saya punya beberapa buah teori.	Lôn na meu padup boh teori.
Saya harus pergi tidur.	Lôn harus jak éh.
Saya tidak sengaja bertemu dengannya.	Lôn hana sengaja meureumpök ngön jih.
Saya butuh perangko.	Lôn perlè perangko.
Saya akan mengambil beberapa gelas.	Lôn akan cok meu padup boh glah.
Saya di sini sebagai seorang turis.	Lôn i noe sebagoe turis.
Apakah semuanya oke di sini?	Peukeuh mandum oke i noe?
Apakah jam itu bekerja?	Peukeuh jeum nyan keureuja?
Apakah ada perbedaan?	Peukeuh na beda?
